,Open,High,Low,Close,Volume,Turnover
01-Jan-2000,0,0,0,     1000.00,0,0.00
03-Jan-2000,0,0,0,     1054.81,0,0.00
04-Jan-2000,0,0,0,     1092.08,0,0.00
05-Jan-2000,0,0,0,     1055.99,0,0.00
06-Jan-2000,0,0,0,     1086.67,0,0.00
07-Jan-2000,0,0,0,     1126.99,0,0.00
10-Jan-2000,0,0,0,     1088.97,0,0.00
11-Jan-2000,0,0,0,     1033.55,0,0.00
12-Jan-2000,0,0,0,     1036.63,0,0.00
13-Jan-2000,0,0,0,     1034.19,0,0.00
14-Jan-2000,0,0,0,     1023.41,0,0.00
17-Jan-2000,0,0,0,     1035.99,0,0.00
18-Jan-2000,0,0,0,     1021.69,0,0.00
19-Jan-2000,0,0,0,     1057.89,0,0.00
20-Jan-2000,0,0,0,     1046.31,0,0.00
21-Jan-2000,0,0,0,     1058.91,0,0.00
24-Jan-2000,0,0,0,     1049.82,0,0.00
25-Jan-2000,0,0,0,     1061.60,0,0.00
27-Jan-2000,0,0,0,     1096.45,0,0.00
28-Jan-2000,0,0,0,     1153.35,0,0.00
31-Jan-2000,0,0,0,     1148.89,0,0.00
01-Feb-2000,0,0,0,     1175.15,0,0.00
02-Feb-2000,0,0,0,     1186.97,0,0.00
03-Feb-2000,0,0,0,     1185.11,0,0.00
04-Feb-2000,0,0,0,     1172.21,0,0.00
07-Feb-2000,0,0,0,     1158.08,0,0.00
08-Feb-2000,0,0,0,     1150.20,0,0.00
09-Feb-2000,0,0,0,     1154.25,0,0.00
10-Feb-2000,0,0,0,     1181.48,0,0.00
11-Feb-2000,0,0,0,     1156.67,0,0.00
14-Feb-2000,0,0,0,     1212.66,0,0.00
15-Feb-2000,0,0,0,     1148.10,0,0.00
16-Feb-2000,0,0,0,     1167.64,0,0.00
17-Feb-2000,0,0,0,     1178.51,0,0.00
18-Feb-2000,0,0,0,     1151.56,0,0.00
21-Feb-2000,0,0,0,     1142.80,0,0.00
22-Feb-2000,0,0,0,     1091.48,0,0.00
23-Feb-2000,0,0,0,     1092.85,0,0.00
24-Feb-2000,0,0,0,     1103.90,0,0.00
25-Feb-2000,0,0,0,     1109.38,0,0.00
28-Feb-2000,0,0,0,     1141.18,0,0.00
29-Feb-2000,0,0,0,     1075.15,0,0.00
01-Mar-2000,0,0,0,     1139.88,0,0.00
02-Mar-2000,0,0,0,     1141.08,0,0.00
03-Mar-2000,0,0,0,     1124.70,0,0.00
06-Mar-2000,0,0,0,     1126.59,0,0.00
07-Mar-2000,0,0,0,     1104.42,0,0.00
08-Mar-2000,0,0,0,     1057.46,0,0.00
09-Mar-2000,0,0,0,     1004.31,0,0.00
10-Mar-2000,0,0,0,      987.88,0,0.00
13-Mar-2000,0,0,0,      978.64,0,0.00
14-Mar-2000,0,0,0,      996.36,0,0.00
15-Mar-2000,0,0,0,     1027.62,0,0.00
16-Mar-2000,0,0,0,     1055.36,0,0.00
21-Mar-2000,0,0,0,     1074.75,0,0.00
22-Mar-2000,0,0,0,     1088.21,0,0.00
23-Mar-2000,0,0,0,     1086.02,0,0.00
24-Mar-2000,0,0,0,     1086.32,0,0.00
27-Mar-2000,0,0,0,     1071.09,0,0.00
28-Mar-2000,0,0,0,     1071.17,0,0.00
29-Mar-2000,0,0,0,     1070.13,0,0.00
30-Mar-2000,0,0,0,     1101.06,0,0.00
31-Mar-2000,0,0,0,     1106.83,0,0.00
03-Apr-2000,0,0,0,     1110.14,0,0.00
04-Apr-2000,0,0,0,     1026.65,0,0.00
05-Apr-2000,0,0,0,     1000.84,0,0.00
06-Apr-2000,0,0,0,      989.20,0,0.00
07-Apr-2000,0,0,0,     1048.75,0,0.00
10-Apr-2000,0,0,0,     1087.71,0,0.00
11-Apr-2000,0,0,0,     1105.19,0,0.00
12-Apr-2000,0,0,0,     1097.08,0,0.00
13-Apr-2000,0,0,0,     1056.89,0,0.00
17-Apr-2000,0,0,0,     1003.89,0,0.00
18-Apr-2000,0,0,0,     1031.28,0,0.00
19-Apr-2000,0,0,0,     1029.46,0,0.00
20-Apr-2000,0,0,0,     1026.09,0,0.00
24-Apr-2000,0,0,0,     1009.29,0,0.00
25-Apr-2000,0,0,0,     1015.70,0,0.00
26-Apr-2000,0,0,0,     1067.57,0,0.00
27-Apr-2000,0,0,0,     1050.72,0,0.00
28-Apr-2000,0,0,0,     1056.20,0,0.00
02-May-2000,0,0,0,     1021.98,0,0.00
03-May-2000,0,0,0,     1020.90,0,0.00
04-May-2000,0,0,0,     1030.91,0,0.00
05-May-2000,0,0,0,     1040.91,0,0.00
08-May-2000,0,0,0,     1031.09,0,0.00
09-May-2000,0,0,0,     1032.50,0,0.00
10-May-2000,0,0,0,     1027.99,0,0.00
11-May-2000,0,0,0,     1012.45,0,0.00
12-May-2000,0,0,0,      995.67,0,0.00
15-May-2000,0,0,0,      993.35,0,0.00
16-May-2000,0,0,0,      989.61,0,0.00
17-May-2000,0,0,0,      999.40,0,0.00
18-May-2000,0,0,0,      984.62,0,0.00
19-May-2000,0,0,0,      988.26,0,0.00
22-May-2000,0,0,0,      966.01,0,0.00
23-May-2000,0,0,0,      948.48,0,0.00
24-May-2000,0,0,0,      950.96,0,0.00
25-May-2000,0,0,0,      950.97,0,0.00
26-May-2000,0,0,0,      953.86,0,0.00
29-May-2000,0,0,0,      966.83,0,0.00
30-May-2000,0,0,0,      986.64,0,0.00
31-May-2000,0,0,0,     1001.24,0,0.00
01-Jun-2000,0,0,0,      985.93,0,0.00
02-Jun-2000,0,0,0,     1007.95,0,0.00
05-Jun-2000,0,0,0,     1034.98,0,0.00
06-Jun-2000,0,0,0,     1034.29,0,0.00
07-Jun-2000,0,0,0,     1029.53,0,0.00
08-Jun-2000,0,0,0,     1064.58,0,0.00
09-Jun-2000,0,0,0,     1070.22,0,0.00
12-Jun-2000,0,0,0,     1052.44,0,0.00
13-Jun-2000,0,0,0,     1059.56,0,0.00
14-Jun-2000,0,0,0,     1066.28,0,0.00
15-Jun-2000,0,0,0,     1071.61,0,0.00
16-Jun-2000,0,0,0,     1098.00,0,0.00
19-Jun-2000,0,0,0,     1087.05,0,0.00
20-Jun-2000,0,0,0,     1110.22,0,0.00
21-Jun-2000,0,0,0,     1090.32,0,0.00
22-Jun-2000,0,0,0,     1106.12,0,0.00
23-Jun-2000,0,0,0,     1120.48,0,0.00
26-Jun-2000,0,0,0,     1084.38,0,0.00
27-Jun-2000,0,0,0,     1083.34,0,0.00
28-Jun-2000,0,0,0,     1085.73,0,0.00
29-Jun-2000,0,0,0,     1093.55,0,0.00
30-Jun-2000,0,0,0,     1087.18,0,0.00
