,Open,High,Low,Close,Volume,Turnover
03-Jul-1990,        0.00,        0.00,        0.00,      279.02,0,0.00
05-Jul-1990,        0.00,        0.00,        0.00,      284.04,0,0.00
06-Jul-1990,        0.00,        0.00,        0.00,      289.04,0,0.00
09-Jul-1990,        0.00,        0.00,        0.00,      289.69,0,0.00
10-Jul-1990,        0.00,        0.00,        0.00,      288.69,0,0.00
11-Jul-1990,        0.00,        0.00,        0.00,      293.30,0,0.00
12-Jul-1990,        0.00,        0.00,        0.00,      296.21,0,0.00
13-Jul-1990,        0.00,        0.00,        0.00,      296.34,0,0.00
16-Jul-1990,        0.00,        0.00,        0.00,      287.96,0,0.00
17-Jul-1990,        0.00,        0.00,        0.00,      295.39,0,0.00
18-Jul-1990,        0.00,        0.00,        0.00,      298.23,0,0.00
19-Jul-1990,        0.00,        0.00,        0.00,      301.50,0,0.00
20-Jul-1990,        0.00,        0.00,        0.00,      302.59,0,0.00
25-Jul-1990,        0.00,        0.00,        0.00,      321.76,0,0.00
26-Jul-1990,        0.00,        0.00,        0.00,      323.58,0,0.00
27-Jul-1990,        0.00,        0.00,        0.00,      329.65,0,0.00
30-Jul-1990,        0.00,        0.00,        0.00,      347.44,0,0.00
03-Aug-1990,        0.00,        0.00,        0.00,      337.29,0,0.00
07-Aug-1990,        0.00,        0.00,        0.00,      331.45,0,0.00
08-Aug-1990,        0.00,        0.00,        0.00,      322.11,0,0.00
09-Aug-1990,        0.00,        0.00,        0.00,      325.69,0,0.00
10-Aug-1990,        0.00,        0.00,        0.00,      333.35,0,0.00
13-Aug-1990,        0.00,        0.00,        0.00,      348.98,0,0.00
16-Aug-1990,        0.00,        0.00,        0.00,      349.39,0,0.00
17-Aug-1990,        0.00,        0.00,        0.00,      347.99,0,0.00
20-Aug-1990,        0.00,        0.00,        0.00,      353.19,0,0.00
21-Aug-1990,        0.00,        0.00,        0.00,      363.66,0,0.00
22-Aug-1990,        0.00,        0.00,        0.00,      369.95,0,0.00
23-Aug-1990,        0.00,        0.00,        0.00,      368.14,0,0.00
27-Aug-1990,        0.00,        0.00,        0.00,      384.78,0,0.00
28-Aug-1990,        0.00,        0.00,        0.00,      384.39,0,0.00
29-Aug-1990,        0.00,        0.00,        0.00,      384.88,0,0.00
30-Aug-1990,        0.00,        0.00,        0.00,      400.06,0,0.00
03-Sep-1990,        0.00,        0.00,        0.00,      407.13,0,0.00
04-Sep-1990,        0.00,        0.00,        0.00,      392.47,0,0.00
05-Sep-1990,        0.00,        0.00,        0.00,      389.82,0,0.00
06-Sep-1990,        0.00,        0.00,        0.00,      396.51,0,0.00
07-Sep-1990,        0.00,        0.00,        0.00,      404.11,0,0.00
10-Sep-1990,        0.00,        0.00,        0.00,      411.11,0,0.00
11-Sep-1990,        0.00,        0.00,        0.00,      422.07,0,0.00
12-Sep-1990,        0.00,        0.00,        0.00,      414.16,0,0.00
14-Sep-1990,        0.00,        0.00,        0.00,      396.50,0,0.00
18-Sep-1990,        0.00,        0.00,        0.00,      415.18,0,0.00
19-Sep-1990,        0.00,        0.00,        0.00,      419.46,0,0.00
20-Sep-1990,        0.00,        0.00,        0.00,      421.32,0,0.00
21-Sep-1990,        0.00,        0.00,        0.00,      434.08,0,0.00
25-Sep-1990,        0.00,        0.00,        0.00,      452.36,0,0.00
26-Sep-1990,        0.00,        0.00,        0.00,      436.16,0,0.00
27-Sep-1990,        0.00,        0.00,        0.00,      439.72,0,0.00
04-Oct-1990,        0.00,        0.00,        0.00,      439.55,0,0.00
09-Oct-1990,        0.00,        0.00,        0.00,      480.38,0,0.00
11-Oct-1990,        0.00,        0.00,        0.00,      449.25,0,0.00
12-Oct-1990,        0.00,        0.00,        0.00,      429.29,0,0.00
15-Oct-1990,        0.00,        0.00,        0.00,      398.92,0,0.00
18-Oct-1990,        0.00,        0.00,        0.00,      405.72,0,0.00
22-Oct-1990,        0.00,        0.00,        0.00,      383.75,0,0.00
25-Oct-1990,        0.00,        0.00,        0.00,      404.15,0,0.00
26-Oct-1990,        0.00,        0.00,        0.00,      397.04,0,0.00
31-Oct-1990,        0.00,        0.00,        0.00,      403.66,0,0.00
01-Nov-1990,        0.00,        0.00,        0.00,      412.90,0,0.00
05-Nov-1990,        0.00,        0.00,        0.00,      416.08,0,0.00
07-Nov-1990,        0.00,        0.00,        0.00,      428.21,0,0.00
08-Nov-1990,        0.00,        0.00,        0.00,      435.18,0,0.00
09-Nov-1990,        0.00,        0.00,        0.00,      430.25,0,0.00
12-Nov-1990,        0.00,        0.00,        0.00,      403.06,0,0.00
14-Nov-1990,        0.00,        0.00,        0.00,      405.70,0,0.00
16-Nov-1990,        0.00,        0.00,        0.00,      408.34,0,0.00
21-Nov-1990,        0.00,        0.00,        0.00,      391.83,0,0.00
22-Nov-1990,        0.00,        0.00,        0.00,      383.69,0,0.00
23-Nov-1990,        0.00,        0.00,        0.00,      399.67,0,0.00
26-Nov-1990,        0.00,        0.00,        0.00,      405.00,0,0.00
27-Nov-1990,        0.00,        0.00,        0.00,      393.78,0,0.00
29-Nov-1990,        0.00,        0.00,        0.00,      373.33,0,0.00
30-Nov-1990,        0.00,        0.00,        0.00,      367.69,0,0.00
03-Dec-1990,        0.00,        0.00,        0.00,      371.14,0,0.00
04-Dec-1990,        0.00,        0.00,        0.00,      359.86,0,0.00
05-Dec-1990,        0.00,        0.00,        0.00,      359.21,0,0.00
06-Dec-1990,        0.00,        0.00,        0.00,      363.06,0,0.00
10-Dec-1990,        0.00,        0.00,        0.00,      371.86,0,0.00
11-Dec-1990,        0.00,        0.00,        0.00,      368.22,0,0.00
12-Dec-1990,        0.00,        0.00,        0.00,      372.37,0,0.00
13-Dec-1990,        0.00,        0.00,        0.00,      378.88,0,0.00
14-Dec-1990,        0.00,        0.00,        0.00,      382.16,0,0.00
17-Dec-1990,        0.00,        0.00,        0.00,      367.42,0,0.00
18-Dec-1990,        0.00,        0.00,        0.00,      347.93,0,0.00
19-Dec-1990,        0.00,        0.00,        0.00,      333.33,0,0.00
21-Dec-1990,        0.00,        0.00,        0.00,      326.93,0,0.00
24-Dec-1990,        0.00,        0.00,        0.00,      330.86,0,0.00
02-Jan-1991,        0.00,        0.00,        0.00,      318.95,0,0.00
03-Jan-1991,        0.00,        0.00,        0.00,      314.01,0,0.00
07-Jan-1991,        0.00,        0.00,        0.00,      318.12,0,0.00
09-Jan-1991,        0.00,        0.00,        0.00,      321.49,0,0.00
11-Jan-1991,        0.00,        0.00,        0.00,      326.37,0,0.00
14-Jan-1991,        0.00,        0.00,        0.00,      323.42,0,0.00
23-Jan-1991,        0.00,        0.00,        0.00,      319.49,0,0.00
24-Jan-1991,        0.00,        0.00,        0.00,      312.07,0,0.00
25-Jan-1991,        0.00,        0.00,        0.00,      306.22,0,0.00
31-Jan-1991,        0.00,        0.00,        0.00,      314.36,0,0.00
01-Feb-1991,        0.00,        0.00,        0.00,      324.29,0,0.00
04-Feb-1991,        0.00,        0.00,        0.00,      334.83,0,0.00
05-Feb-1991,        0.00,        0.00,        0.00,      339.98,0,0.00
06-Feb-1991,        0.00,        0.00,        0.00,      338.21,0,0.00
07-Feb-1991,        0.00,        0.00,        0.00,      330.40,0,0.00
08-Feb-1991,        0.00,        0.00,        0.00,      329.50,0,0.00
11-Feb-1991,        0.00,        0.00,        0.00,      324.61,0,0.00
13-Feb-1991,        0.00,        0.00,        0.00,      322.24,0,0.00
14-Feb-1991,        0.00,        0.00,        0.00,      326.76,0,0.00
15-Feb-1991,        0.00,        0.00,        0.00,      331.06,0,0.00
19-Feb-1991,        0.00,        0.00,        0.00,      361.63,0,0.00
20-Feb-1991,        0.00,        0.00,        0.00,      360.52,0,0.00
21-Feb-1991,        0.00,        0.00,        0.00,      362.78,0,0.00
22-Feb-1991,        0.00,        0.00,        0.00,      369.57,0,0.00
25-Feb-1991,        0.00,        0.00,        0.00,      369.03,0,0.00
26-Feb-1991,        0.00,        0.00,        0.00,      377.39,0,0.00
27-Feb-1991,        0.00,        0.00,        0.00,      379.84,0,0.00
28-Feb-1991,        0.00,        0.00,        0.00,      379.94,0,0.00
